topic,winner_group,consistency_score,avg_alignment_score,avg_validity,n_questions,avg_jsd_threat_economic,avg_jsd_threat_it_system,avg_jsd_threat_legal,most_disruptive_threat,most_effective_threat_validity,most_effective_threat_consistency
PRIVACYNEWS,Conservative,1.0,0.8931,0.0,1,0.0017,0.0001,0.0015,Economic,Economic,Economic
HOMEASSIST,Liberal,0.5,0.8545,0.1667,6,0.001,0.0035,0.0013,IT_System,IT_System,IT_System
HOMEIOT,Moderate,1.0,0.7451,0.0,1,0.0025,0.0029,0.0053,Legal,IT_System,IT_System
FITTRACK,Liberal,1.0,0.5606,0.0,1,0.0003,0.0,0.0,Economic,IT_System,IT_System
LOYALTY,Republican,1.0,0.9893,0.0,1,0.0,0.0001,0.0008,Legal,IT_System,IT_System
DNATEST,Liberal,1.0,0.6366,0.0,2,0.0002,0.0013,0.0015,Legal,Economic,Economic
TRACKCO,Tie,0.5,0.8443,0.0,2,0.0032,0.0023,0.0023,Economic,Economic,Economic
CONCERNCO,Republican,1.0,0.8119,0.0,1,0.0008,0.0036,0.0008,IT_System,IT_System,IT_System
BENEFITCO,Democrat,1.0,0.753,0.0,1,0.0003,0.0001,0.0014,Legal,Economic,Economic
CONTROLCO,Liberal,1.0,0.7621,0.0,1,0.0025,0.0007,0.0022,Economic,Economic,Economic
UNDERSTANDCO,Republican,1.0,0.8299,0.0,1,0.0007,0.0005,0.0013,Legal,Economic,Economic
POSNEGCO,Democrat,1.0,0.7228,0.0,1,0.0,0.001,0.0002,IT_System,IT_System,IT_System
ANONYMOUS,Tie,0.5,0.8945,0.0,2,0.0001,0.0052,0.0005,IT_System,IT_System,Economic
TRACKGOV,Tie,0.5,0.857,0.0,2,0.0038,0.0047,0.0023,IT_System,Economic,Economic
CONCERNGOV,Republican,1.0,0.9122,0.0,1,0.0008,0.0026,0.0011,IT_System,IT_System,IT_System
BENEFITGOV,Democrat,1.0,0.7484,0.0,1,0.0006,0.0,0.0006,Economic,Economic,Economic
CONTROLGOV,Democrat,1.0,0.6871,0.0,1,0.0032,0.0011,0.0034,Legal,Economic,Economic
UNDERSTANDGOV,Independent,1.0,0.7535,0.0,1,0.001,0.0005,0.0013,Legal,IT_System,Economic
POSNEGGOV,Liberal,1.0,0.869,0.0,1,0.0,0.0014,0.0002,IT_System,Economic,IT_System
CONCERNGRP,Democrat,0.5,0.8585,0.0,6,0.0005,0.0017,0.0004,IT_System,IT_System,IT_System
CONTROLGRP,Democrat,0.6667,0.8353,0.0,6,0.0005,0.0017,0.0006,IT_System,IT_System,Economic
PRIVACYREG,Moderate,1.0,0.7735,0.0,1,0.0051,0.0004,0.0019,Economic,IT_System,IT_System
GOVREGV,Tie,0.5,0.7683,0.0,2,0.0006,0.0014,0.0013,IT_System,Legal,IT_System
SHARE,Conservative,1.0,0.9931,0.0,1,0.001,0.0,0.001,Economic,Economic,Economic
PWMAN,Tie,0.5,0.7413,0.0,2,0.0041,0.0024,0.0052,Legal,IT_System,IT_System
SMARTPHONE,Conservative,1.0,0.7169,0.0,1,0.0027,0.0007,0.0033,Legal,Economic,Economic
SMARTAPP,Conservative,1.0,0.8806,0.0,1,0.0004,0.0035,0.0003,IT_System,Economic,Economic
PUBLICDATA,Democrat,1.0,0.6964,0.0,1,0.0,0.001,0.0019,Legal,Economic,Economic
RTBF,Moderate,0.5,0.8473,0.5,4,0.0,0.0011,0.0003,IT_System,IT_System,IT_System
RTD,Liberal,0.5,0.7848,0.5,4,0.0024,0.0045,0.0026,IT_System,IT_System,Economic
PROFILE,Conservative,1.0,0.8299,0.0,2,0.0022,0.0008,0.002,Economic,IT_System,IT_System
DATAUSE,Democrat,0.5,0.9389,0.3333,6,0.01,0.0142,0.005,IT_System,Economic,Economic
FACE,Tie,0.2727,0.8326,0.0,11,0.0057,0.0078,0.0036,IT_System,IT_System,IT_System
DB,Moderate,0.6667,0.5422,0.0,3,0.0019,0.0024,0.0006,IT_System,IT_System,IT_System
FAMSURV,Moderate,0.2366,0.7663,0.0638,94,0.0016,0.0018,0.0016,IT_System,IT_System,IT_System
MOTHER,Republican,1.0,0.8924,0.0,1,0.0004,0.0004,0.0002,IT_System,Economic,Economic
FATHER,Liberal,1.0,0.9626,0.0,1,0.0003,0.0,0.0003,Legal,Economic,Economic
SIB,Democrat,1.0,0.8751,0.0,1,0.0005,0.0005,0.0002,Economic,Economic,Economic
REMARR,Republican,1.0,0.7935,0.0,1,0.0,0.0004,0.0004,IT_System,Economic,Economic
ENG,Moderate,1.0,0.4461,0.0,1,0.0037,0.0029,0.0041,Legal,Economic,Economic
LWPT,Independent,1.0,0.6382,0.0,1,0.0002,0.0002,0.0,Economic,Economic,Economic
ADKIDS,None,0.0,,0.0,1,0.0001,0.0,0.0015,Legal,Economic,Economic
PAR,Liberal,0.5,0.8195,0.0,4,0.0011,0.001,0.001,Economic,Economic,Economic
ROMRELDUR,Liberal,1.0,0.725,0.0,1,0.0016,0.0016,0.0027,Legal,Economic,Economic
MARRDUR,Liberal,1.0,0.5343,0.0,1,0.0015,0.0041,0.0025,IT_System,Economic,Economic
COHABDUR,Democrat,1.0,0.9058,0.0,1,0.0035,0.004,0.0018,IT_System,Economic,Economic
LWPSP,Independent,1.0,0.9798,0.0,1,0.0,0.0038,0.0016,IT_System,Economic,Economic
ROMRELSER,Independent,1.0,0.6874,0.0,1,0.0006,0.0006,0.0018,Legal,Economic,Economic
MARRYPREF,Tie,0.5,0.8552,0.0,2,0.0002,0.0001,0.0004,Legal,Economic,Economic
HAVEKIDS,Democrat,1.0,0.9633,0.0,1,0.002,0.0003,0.0017,Economic,IT_System,IT_System
DNA,Independent,0.625,0.7199,0.0,8,0.0001,0.0012,0.0005,IT_System,IT_System,IT_System
ORIENTATIONMOD,Liberal,1.0,0.7407,0.0,1,0.0014,0.0017,0.0011,IT_System,Economic,Economic
FIN_SIT,Moderate,1.0,0.8206,0.0,1,0.0002,0.0008,0.0005,IT_System,Economic,Economic
FIN_SITFUT,Independent,1.0,0.8732,0.0,1,0.0,0.0013,0.0,IT_System,Economic,Economic
FIN_SITMOST,Independent,1.0,0.875,0.0,1,0.0,0.0005,0.0003,IT_System,Economic,Economic
FIN_SITCOMM,Democrat,1.0,0.8634,0.0,1,0.0001,0.0009,0.0003,IT_System,Economic,Economic
FIN_SITGROWUP,Moderate,1.0,0.9377,0.0,1,0.0005,0.0017,0.0006,IT_System,Economic,Economic
JOBTRAIN,Conservative,1.0,0.876,1.0,1,0.0001,0.0017,0.0001,IT_System,Economic,Economic
GOVPRIORITY,Tie,0.3333,0.7189,0.0,6,0.0006,0.0004,0.0005,Economic,IT_System,Economic
GOVRESP,Moderate,0.375,0.8582,0.0,8,0.0003,0.0002,0.0004,Legal,IT_System,IT_System
ECON,Republican,0.3871,0.8571,0.0323,31,0.0018,0.0014,0.0016,Economic,IT_System,IT_System
INEQ,Conservative,0.25,0.8291,0.0833,36,0.002,0.0015,0.002,Legal,Legal,IT_System
ECIMP,Republican,0.6,0.6706,0.0,10,0.0011,0.0005,0.0008,Economic,Legal,IT_System
FINANCE,Moderate,0.6667,0.8339,0.0,3,0.0011,0.0033,0.0006,IT_System,IT_System,IT_System
DEBT,Tie,0.4,0.7583,0.0,5,0.0001,0.0009,0.0015,Legal,Economic,Economic
BENEFITS,Moderate,0.6667,0.4732,0.0,3,0.0006,0.0007,0.0009,Legal,IT_System,IT_System
WORKHARD,Democrat,1.0,0.8793,0.0,1,0.0015,0.0008,0.0001,Economic,Economic,Economic
POOREASY,Moderate,1.0,0.9456,0.0,1,0.0033,0.0003,0.0001,Economic,Economic,IT_System
GAP,Independent,0.3269,0.8359,0.0385,104,0.0014,0.0021,0.0015,IT_System,IT_System,IT_System
LIFEFIFTY,Liberal,1.0,0.8563,0.0,1,0.0059,0.004,0.0054,Economic,Economic,Economic
BIGHOUSES,Moderate,1.0,0.9739,0.0,1,0.0,0.0023,0.0019,IT_System,IT_System,IT_System
INSTN_CHR,Democrat,1.0,0.9177,0.0,1,0.0033,0.0008,0.0001,Economic,Economic,Economic
INSTN_CLGS,Independent,1.0,0.9636,0.0,1,0.0039,0.0003,0.0004,Economic,IT_System,Economic
INSTN_LGECRP,Republican,1.0,0.7848,0.0,1,0.0014,0.0,0.0015,Legal,Economic,Economic
INSTN_MSCENT,Liberal,1.0,0.8216,0.0,1,0.0036,0.0,0.0003,Economic,Economic,Economic
INSTN_LBRUN,Independent,1.0,0.9814,0.0,1,0.0011,0.0001,0.0006,Economic,IT_System,Economic
INSTN_K,Independent,1.0,0.9045,0.0,1,0.0022,0.0006,0.0011,Economic,IT_System,Economic
INSTN_BNKS,Moderate,1.0,0.9465,0.0,1,0.0026,0.0005,0.0005,Economic,IT_System,Economic
INSTN_TECHCMP,Independent,1.0,0.9791,0.0,1,0.0017,0.0,0.001,Economic,Economic,Economic
DIFFPARTY,Independent,1.0,0.9077,0.0,1,0.0004,0.0029,0.0011,IT_System,IT_System,IT_System
GOVSIZE,Tie,0.3333,0.8598,0.0,3,0.0015,0.0005,0.0006,Economic,IT_System,Legal
USEXCEPT,Independent,1.0,0.9334,0.0,1,0.0021,0.0014,0.0024,Legal,Economic,Economic
WOMENOBS,Independent,1.0,0.9995,0.0,1,0.003,0.0004,0.0004,Economic,Economic,Economic
OPENIDEN,Republican,1.0,0.745,0.0,1,0.0055,0.0002,0.0018,Economic,Economic,Economic
VTRGHTPRIV,Independent,1.0,0.8531,0.0,1,0.0061,0.001,0.0016,Economic,Economic,Economic
ALLIES,Conservative,1.0,0.8294,0.0,1,0.0091,0.0014,0.0051,Economic,Economic,Economic
PEACESTR,Independent,1.0,0.9079,1.0,1,0.0038,0.0013,0.002,Economic,IT_System,Economic
GOVWASTE,Moderate,1.0,0.8918,0.0,1,0.0012,0.0,0.0007,Economic,Economic,Economic
COMPROMISEVAL,Republican,1.0,0.772,0.0,1,0.0053,0.0002,0.0013,Economic,IT_System,Legal
POORASSIST,Independent,1.0,0.9418,0.0,1,0.0012,0.0018,0.0008,IT_System,Economic,Economic
SUPERPWR,Independent,1.0,0.9992,0.0,1,0.0012,0.0,0.0021,Legal,Economic,Economic
IL_IMM_PRI,Independent,1.0,0.9346,0.0,1,0.0003,0.0011,0.0024,Legal,Economic,Economic
BILLION,Democrat,1.0,0.8702,0.0,1,0.0002,0.0003,0.0007,Legal,Economic,Economic
GLBLZE,Liberal,1.0,0.8839,0.0,1,0.001,0.0121,0.0015,IT_System,Economic,Economic
FP_AUTH,Liberal,1.0,0.9836,0.0,1,0.0016,0.0029,0.0023,IT_System,Economic,Economic
GOVTHC,Independent,1.0,0.9099,0.0,1,0.0,0.0,0.0002,Legal,IT_System,Economic
SNGLPYER,Democrat,1.0,0.9819,0.0,1,0.0004,0.0042,0.0001,IT_System,Economic,Economic
NOGOVTHC,Independent,1.0,0.6628,0.0,1,0.0051,0.0016,0.0001,Economic,Economic,Economic
FREECOLL,Independent,1.0,0.9742,0.0,1,0.0015,0.0014,0.0017,Legal,Economic,Economic
CRIM_SENT,Moderate,1.0,0.9196,0.0,1,0.0102,0.0094,0.0158,Legal,Economic,Economic
USMILSIZ,Democrat,1.0,0.8806,0.0,1,0.0013,0.0007,0.002,Legal,Legal,Legal
PROG_RRETRO,Independent,1.0,0.8948,0.0,1,0.0008,0.0014,0.0008,IT_System,IT_System,IT_System
PROG_RNEED,Tie,0.5,0.8973,0.0,2,0.0012,0.0018,0.0009,IT_System,Legal,Legal
ELITEUNDMOD,Democrat,1.0,0.7894,0.0,1,0.0001,0.0036,0.0002,IT_System,IT_System,IT_System
POLINTOL,Tie,0.5,0.8187,0.0,2,0.0015,0.0008,0.0011,Economic,IT_System,IT_System
CANQUALPOL,Democrat,1.0,0.8108,0.0,1,0.0022,0.003,0.0044,Legal,IT_System,Economic
CANMTCHPOL,Independent,1.0,0.8589,0.0,1,0.001,0.0095,0.0027,IT_System,Legal,Legal
SOCIETY_TRANS,Moderate,1.0,0.9436,1.0,1,0.0022,0.0015,0.0032,Legal,Economic,Economic
SOCIETY_RHIST,Independent,1.0,0.9777,0.0,1,0.0007,0.0005,0.0021,Legal,IT_System,IT_System
SOCIETY_JBCLL,Moderate,1.0,0.8841,0.0,1,0.0018,0.0006,0.0027,Legal,Economic,Economic
SOCIETY_RELG,Democrat,1.0,0.7806,0.0,1,0.003,0.0009,0.0063,Legal,IT_System,IT_System
SOCIETY_WHT,Democrat,1.0,0.8393,0.0,1,0.0028,0.0004,0.005,Legal,Economic,Economic
SOCIETY_GUNS,Republican,1.0,0.7039,0.0,1,0.0027,0.0006,0.0054,Legal,Economic,Economic
SOCIETY_SSM,Moderate,1.0,0.9074,0.0,1,0.004,0.0002,0.0055,Legal,Economic,Economic
PROBOFF,Tie,0.5,0.72,0.0,2,0.0006,0.0007,0.0006,IT_System,IT_System,IT_System
BUSPROFIT,Conservative,1.0,0.8176,0.0,1,0.0017,0.0,0.0001,Economic,Economic,Economic
CNTRYFAIR,Independent,1.0,0.9257,0.0,1,0.0027,0.0,0.0028,Legal,IT_System,IT_System
GOVPROTCT,Independent,1.0,0.9539,0.0,1,0.0055,0.0008,0.0,Economic,IT_System,IT_System
GOVAID,Independent,1.0,0.9698,0.0,1,0.0019,0.0,0.0001,Economic,Economic,Economic
RELIG_GOV,Republican,1.0,0.7383,0.0,1,0.0027,0.0,0.0001,Economic,Economic,Economic
GOODEVIL,Conservative,1.0,0.9137,0.0,1,0.0016,0.0001,0.0002,Economic,IT_System,IT_System
PPLRESP,Democrat,1.0,0.9138,0.0,1,0.0016,0.0,0.0016,Economic,IT_System,IT_System
ELECT_IMPT,Tie,0.5,0.5985,0.0,2,0.0021,0.0038,0.0024,IT_System,Economic,Economic
ELECT_CONF,Tie,0.5,0.8996,0.0,2,0.0076,0.001,0.0078,Legal,IT_System,IT_System
CANDEXP,Conservative,1.0,0.8596,0.0,1,0.0019,0.0041,0.0019,IT_System,IT_System,IT_System
LEGALIMMIGAMT,Democrat,1.0,0.8849,0.0,1,0.0018,0.0021,0.0039,Legal,Economic,Economic
UNIMMIGCOMM,Independent,1.0,0.9026,0.0,1,0.0021,0.001,0.0026,Legal,IT_System,IT_System
GODMORALIMP,Moderate,1.0,0.9059,0.0,1,0.0034,0.001,0.0015,Economic,IT_System,Legal
REPRSNTREP,Independent,1.0,0.8718,0.0,1,0.0015,0.0008,0.002,Legal,Economic,Economic
REPRSNTDEM,Moderate,1.0,0.8955,0.0,1,0.0007,0.0004,0.0009,Legal,Economic,Economic
VTRS_VALS,Independent,1.0,0.9449,0.0,1,0.0008,0.0008,0.0012,Legal,Economic,Economic
