topic,winner_group,consistency_score,avg_alignment_score,avg_validity,n_questions,avg_jsd_threat_economic,avg_jsd_threat_it_system,avg_jsd_threat_legal,most_disruptive_threat
MARRYPREF,Democrat,0.5,0.871,0.0,2,0.0033,0.0002,0.0009,Economic
HAVEKIDS,Liberal,1.0,0.9095,0.0,1,0.004,0.0026,0.0102,Legal
DNA,Independent,0.625,0.7252,0.0,8,0.0008,0.0037,0.0044,Legal
ORIENTATIONMOD,Liberal,1.0,0.7166,0.0,1,0.0004,0.0005,0.0011,Legal
FIN_SIT,Moderate,1.0,0.8165,0.0,1,0.0028,0.0003,0.0036,Legal
FIN_SITFUT,Independent,1.0,0.9793,0.0,1,0.0014,0.002,0.0079,Legal
FIN_SITMOST,Independent,1.0,0.915,0.0,1,0.0028,0.0004,0.0042,Legal
FIN_SITCOMM,Democrat,1.0,0.8348,0.0,1,0.0029,0.001,0.0052,Legal
FIN_SITGROWUP,Moderate,1.0,0.9324,0.0,1,0.0051,0.0002,0.0077,Legal
JOBTRAIN,Conservative,1.0,0.8257,1.0,1,0.0012,0.001,0.0054,Legal
GOVPRIORITY,Conservative,0.5,0.8119,0.0,6,0.0019,0.0005,0.0015,Economic
GOVRESP,Independent,0.25,0.8662,0.0,8,0.0009,0.0006,0.0005,Economic
ECON,Republican,0.2903,0.8787,0.0,31,0.0047,0.0023,0.0098,Legal
INEQ,Republican,0.3333,0.8283,0.0833,36,0.0032,0.0017,0.0055,Legal
ECIMP,Conservative,0.4,0.7706,0.0,10,0.006,0.0006,0.0075,Legal
FINANCE,Moderate,0.6667,0.8112,0.0,3,0.0012,0.0015,0.0021,Legal
DEBT,Moderate,0.4,0.7289,0.0,5,0.0015,0.0005,0.0005,Economic
BENEFITS,Moderate,0.6667,0.5157,0.0,3,0.0005,0.0027,0.0002,IT_System
WORKHARD,Liberal,1.0,0.7786,0.0,1,0.0052,0.0041,0.0048,Economic
POOREASY,Moderate,1.0,0.9626,0.0,1,0.0016,0.0003,0.0023,Legal
GAP,Independent,0.2692,0.8295,0.0288,104,0.0023,0.0015,0.006,Legal
LIFEFIFTY,Conservative,1.0,0.9139,0.0,1,0.0028,0.0032,0.0123,Legal
BIGHOUSES,Democrat,1.0,0.8611,0.0,1,0.0003,0.0018,0.0014,IT_System
INSTN_CHR,Democrat,1.0,0.8302,0.0,1,0.0002,0.0027,0.0137,Legal
INSTN_CLGS,Independent,1.0,0.8682,0.0,1,0.0002,0.0013,0.0075,Legal
INSTN_LGECRP,Republican,1.0,0.8855,0.0,1,0.0018,0.0036,0.012,Legal
INSTN_MSCENT,Moderate,1.0,0.8973,0.0,1,0.0033,0.0026,0.0205,Legal
INSTN_LBRUN,Independent,1.0,0.8672,1.0,1,0.0014,0.0042,0.0124,Legal
INSTN_K,Conservative,1.0,0.7922,0.0,1,0.0035,0.0036,0.0198,Legal
INSTN_BNKS,Liberal,1.0,0.8687,1.0,1,0.0027,0.0017,0.0194,Legal
INSTN_TECHCMP,Conservative,1.0,0.8824,0.0,1,0.005,0.0033,0.0234,Legal
DIFFPARTY,Moderate,1.0,0.7463,0.0,1,0.0,0.0021,0.0027,Legal
GOVSIZE,Conservative,0.3333,0.887,0.0,3,0.0007,0.0001,0.0001,Economic
USEXCEPT,Independent,1.0,0.883,0.0,1,0.0001,0.0022,0.0002,IT_System
WOMENOBS,Moderate,1.0,0.9917,0.0,1,0.0007,0.0005,0.0014,Legal
OPENIDEN,Conservative,1.0,0.7739,0.0,1,0.0017,0.0,0.0022,Legal
VTRGHTPRIV,Independent,1.0,0.9908,0.0,1,0.0,0.0024,0.0002,IT_System
ALLIES,Conservative,1.0,0.8294,0.0,1,0.0,0.0007,0.0,IT_System
PEACESTR,Conservative,1.0,0.8111,0.0,1,0.0,0.0,0.0,IT_System
GOVWASTE,Moderate,1.0,0.8539,0.0,1,0.003,0.0012,0.0041,Legal
COMPROMISEVAL,Republican,1.0,0.8388,0.0,1,0.0004,0.0009,0.0007,IT_System
POORASSIST,Independent,1.0,0.9547,0.0,1,0.003,0.0029,0.0042,Legal
SUPERPWR,Democrat,1.0,0.8839,0.0,1,0.0003,0.0003,0.0003,IT_System
IL_IMM_PRI,Independent,1.0,0.9279,0.0,1,0.0014,0.0003,0.0032,Legal
BILLION,Liberal,1.0,0.7755,0.0,1,0.0005,0.0002,0.0013,Legal
GLBLZE,Independent,1.0,0.9751,0.0,1,0.0008,0.0006,0.0057,Legal
FP_AUTH,Conservative,1.0,0.8617,0.0,1,0.0046,0.0005,0.0,Economic
GOVTHC,Independent,1.0,0.966,0.0,1,0.0077,0.0005,0.02,Legal
SNGLPYER,Moderate,1.0,0.9188,0.0,1,0.0001,0.0003,0.0001,IT_System
NOGOVTHC,Independent,1.0,0.6491,0.0,1,0.0027,0.0003,0.0,Economic
FREECOLL,Independent,1.0,0.9458,0.0,1,0.0015,0.0013,0.0033,Legal
CRIM_SENT,Democrat,1.0,0.877,0.0,1,0.0043,0.0034,0.0052,Legal
USMILSIZ,Democrat,1.0,0.844,0.0,1,0.0032,0.0032,0.0052,Legal
PROG_RRETRO,Moderate,1.0,0.9323,0.0,1,0.0046,0.0003,0.0083,Legal
PROG_RNEED,Democrat,0.5,0.9682,0.0,2,0.0014,0.0004,0.0031,Legal
ELITEUNDMOD,Democrat,1.0,0.732,0.0,1,0.0016,0.0007,0.0078,Legal
POLINTOL,Democrat,0.5,0.8363,0.0,2,0.0083,0.0007,0.017,Legal
CANQUALPOL,Democrat,1.0,0.8546,0.0,1,0.0015,0.0016,0.0077,Legal
CANMTCHPOL,Independent,1.0,0.745,0.0,1,0.0016,0.0063,0.0066,Legal
SOCIETY_TRANS,Moderate,1.0,0.9262,1.0,1,0.0052,0.002,0.0099,Legal
SOCIETY_RHIST,Independent,1.0,0.9333,0.0,1,0.0071,0.0016,0.0137,Legal
SOCIETY_JBCLL,Moderate,1.0,0.92,0.0,1,0.0041,0.0019,0.0064,Legal
SOCIETY_RELG,Liberal,1.0,0.8305,0.0,1,0.0039,0.0018,0.0071,Legal
SOCIETY_WHT,Democrat,1.0,0.8592,0.0,1,0.0049,0.0032,0.0074,Legal
SOCIETY_GUNS,Republican,1.0,0.7729,0.0,1,0.0033,0.0011,0.0077,Legal
SOCIETY_SSM,Moderate,1.0,0.925,0.0,1,0.005,0.0027,0.0092,Legal
PROBOFF,Conservative,0.5,0.788,0.0,2,0.003,0.0014,0.0111,Legal
BUSPROFIT,Conservative,1.0,0.8485,0.0,1,0.0012,0.0005,0.0009,Economic
CNTRYFAIR,Independent,1.0,0.9825,0.0,1,0.0038,0.0002,0.0032,Economic
GOVPROTCT,Independent,1.0,0.9558,0.0,1,0.0008,0.0007,0.0006,Economic
GOVAID,Moderate,1.0,0.9194,0.0,1,0.002,0.0001,0.002,Economic
RELIG_GOV,Republican,1.0,0.7325,0.0,1,0.0004,0.0011,0.0008,IT_System
GOODEVIL,Independent,1.0,0.9975,0.0,1,0.0006,0.0001,0.0008,Legal
PPLRESP,Democrat,1.0,0.8556,0.0,1,0.0008,0.0013,0.0022,Legal
ELECT_IMPT,Liberal,0.5,0.6086,0.0,2,0.0046,0.0016,0.0088,Legal
ELECT_CONF,Democrat,0.5,0.9076,0.0,2,0.003,0.0003,0.0063,Legal
CANDEXP,Conservative,1.0,0.8609,0.0,1,0.0039,0.0042,0.011,Legal
LEGALIMMIGAMT,Democrat,1.0,0.896,0.0,1,0.0044,0.0015,0.0064,Legal
UNIMMIGCOMM,Moderate,1.0,0.8871,0.0,1,0.0048,0.0007,0.0049,Legal
GODMORALIMP,Moderate,1.0,0.917,0.0,1,0.0092,0.0002,0.0101,Legal
REPRSNTREP,Independent,1.0,0.9097,0.0,1,0.0039,0.0003,0.0071,Legal
REPRSNTDEM,Moderate,1.0,0.9154,0.0,1,0.0053,0.0007,0.0066,Legal
VTRS_VALS,Conservative,1.0,0.9741,0.0,1,0.0027,0.0077,0.0021,IT_System
